station_name=W 59 St & 10 Ave; pagerank=0.75
station_name=W 70 St & Amsterdam Ave; pagerank=0.75
station_name=11 Ave & W 41 St; pagerank=0.74
station_name=Bank St & Washington St; pagerank=0.74
station_name=Bialystoker Pl & Delancey St; pagerank=0.74
station_name=E 51 St & 1 Ave; pagerank=0.74
station_name=North Moore St & Greenwich St; pagerank=0.74
station_name=Amsterdam Ave & W 79 St; pagerank=0.73
station_name=Bedford Ave & Nassau Ave; pagerank=0.73
station_name=Graham Ave & Conselyea St; pagerank=0.73
station_name=Pearl St & Anchorage Pl; pagerank=0.73
station_name=Rivington St & Ridge St; pagerank=0.73
station_name=S 4 St & Rodney St; pagerank=0.73
station_name=Spruce St & Nassau St; pagerank=0.73
station_name=W 95 St & Broadway; pagerank=0.73
station_name=3 Ave & Schermerhorn St; pagerank=0.72
station_name=Bergen St & Smith St; pagerank=0.72
station_name=Douglass St & 3 Ave; pagerank=0.72
station_name=E 84 St & Park Ave; pagerank=0.72
station_name=N 11 St & Kent Ave; pagerank=0.72
station_name=Schermerhorn St & Bond St; pagerank=0.72
station_name=5 Ave & E 63 St; pagerank=0.71
station_name=5 Ave & E 78 St; pagerank=0.71
station_name=Amsterdam Ave & W 73 St; pagerank=0.71
station_name=Central Park West & W 68 St; pagerank=0.71
station_name=E 11 St & Avenue B; pagerank=0.71
station_name=E 47 St & 2 Ave; pagerank=0.71
station_name=E 55 St & 3 Ave; pagerank=0.71
station_name=Hudson St & Reade St; pagerank=0.71
station_name=Madison Ave & E 82 St; pagerank=0.71
station_name=Riverside Blvd & W 67 St; pagerank=0.71
station_name=Riverside Dr & W 72 St; pagerank=0.71
station_name=W 35 St & Dyer Ave; pagerank=0.71
station_name=W 37 St & 10 Ave; pagerank=0.71
station_name=W 42 St & Dyer Ave; pagerank=0.71
station_name=W 46 St & 11 Ave; pagerank=0.71
station_name=W 47 St & 10 Ave; pagerank=0.71
station_name=W 50 St & 9 Ave; pagerank=0.71
station_name=W 56 St & 10 Ave; pagerank=0.71
